movieCd,movieNm,movieNmEn,movieNmOg,prdtYear,openDt,showTm,prdtStatNm,typeNm,nations,genres,directors,actors,companys,audits,staffs
20253595,괴수 8호: 미션 리컨,Kaiju No. 8: Mission Recon,,2025,20250507,119,개봉,장편,일본,애니메이션,미야 시게유키,후쿠니시 마사야|파이루즈 아이|세토 아사미|카와니시 켄고,메가박스중앙(주)(배급사)|(주)애니플러스(수입사),2025-MF00981 (15세이상관람가),
20244971,기동전사 건담 역습의 샤아,Mobile Suit Gundam: Char's Counterattack,機動戦士ガンダム 逆襲のシャア,1988,20250507,119,개봉,장편,일본,애니메이션,토미노 요시유키,후루야 토오루|이케다 슈이치|스즈오키 히로타카,(주)미디어캐슬(배급사)|(주)에스피오 엔터테인먼트코리아(수입사),2024-MF01551 (12세이상관람가),
20254240,에이티즈 월드 투어 [투워즈 더 라이트 : 윌 투 파워] 인 시네마 ,ATEEZ WORLD TOUR [TOWARDS THE LIGHT : WILL TO POWER] IN CINEMAS,,2025,20250507,125,개봉,장편,한국,공연,오윤동,,씨제이포디플렉스 주식회사(제작사)|스크린엑스 스튜디오(제작사)|씨제이포디플렉스 주식회사(배급사),2025-MF00969(전체관람가),김건우(프로듀서)|박예빈(라인프로듀서)|김초윤(편집)|박건홍(편집팀)|이승현(편집)|오수빈(홍보/마케팅 진행)|김준서(DI팀)|정미해(기획)
20246489,미션 임파서블: 파이널 레코닝,Mission: Impossible - The Final Reckoning,,2025,20250517,169,개봉,장편,미국,액션,크리스토퍼 맥쿼리,톰 크루즈|헤일리 앳웰|빙 라메스|사이먼 페그|바네사 커비|에사이 모랄레스|폼 클레멘티에프,롯데컬처웍스(주)롯데엔터테인먼트(배급사)|롯데컬처웍스(주)롯데엔터테인먼트(수입사)|파라마운트 픽쳐스(제공),2025-MF01092 (15세이상관람가),
20200703,극장판 귀멸의 칼날: 무한열차편,Demon Slayer: Kimetsu no Yaiba the Movie - Mugen Train,Kimetsu no Yaiba: Mugen Ressha-Hen,2020,20210127,116,개봉,장편,일본,애니메이션,소토자키 하루오,하나에 나츠키|키토 아카리|시모노 히로|마츠오카 요시츠구|히노 사토시|히라카와 다이스케|김연우,(주)넥스트엔터테인먼트월드(NEW)(배급사)|워터홀컴퍼니(주)(배급사)|에스엠지홀딩스 주식회사(수입사),2020-MF02752(15세이상관람가),김남정(홍보/마케팅 진행)
20224270,배드 가이즈,The Bad Guys,,2022,20220504,100,개봉,장편,미국,애니메이션|범죄|액션,피에르 페리펠,샘 록웰|크레이그 로빈슨|안소니 라모스|아콰피나|재지 비츠,유니버설픽쳐스인터내셔널 코리아(유)(배급사)|유니버설픽쳐스인터내셔널 코리아(유)(수입사),2022-MF00521(전체관람가),
20254466,위드 러브,LOVE HURTS,,2025,20250514,83,개봉,장편,미국,액션,조나단 유세비오,키 호이 콴|아리아나 데보스|오언조,유니버설픽쳐스인터내셔널 코리아(유)(배급사)|유니버설픽쳐스인터내셔널 코리아(유)(수입사),2025-MF01046 (청소년관람불가),
20253766,파이널 데스티네이션 블러드라인,Final Destination Bloodlines,,2025,20250514,109,개봉,장편,미국,공포(호러),아담 B. 스테인|잭 리포브스키,케이틀린 산타 후아나|테오 브리오네스|리처드 하몬|오웬 패트릭 조이너|안나 로어|브렉 배싱어|토니 토드,워너브러더스 코리아(주)(배급사)|워너브러더스 코리아(주)(수입사),2025-MF00919 (청소년관람불가),존 왓츠(시나리오(각본))
20253224,"다시 만날, 조국","Another his, SPRING",,2025,20250514,123,개봉,장편,한국,다큐멘터리,정윤철|정상진,조국,(주)엣나인필름(배급사)|㈜스튜디오 체인(배급사),2025-MF01105 (12세이상관람가),
20246048,세븐 베일즈,SEVEN VEILS,,2024,20250514,109,개봉,장편,캐나다,드라마,아톰 에고이안,아만다 사이프리드|더글라스 스미스,판씨네마(주)(배급사)|판씨네마(주)(수입사),2025-MF01063 (15세이상관람가),
